date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,avg_gain,avg_loss,RSI_30,monthly_mean,EMA_30,EMA_200
21-08-1998,1.0604,1.0856,1.0271,0.00323542,0.010194698,0.002938363,0.001926827,0.001389654,0.02375,0.015366667,0.566137796,1.003516667,0.003096595,0.001719955
24-08-1998,1.0854,1.125,1.0843,0.003409972,0.009307273,0.002992253,0.001961424,0.001411545,0.0229,0.015366667,0.554422285,1.01105,0.003137603,0.001748715
25-08-1998,1.1453,1.1459,1.0896,0.003302428,0.009608516,0.003040391,0.001993865,0.001433053,0.020853333,0.016233333,0.505893481,1.01567,0.003168671,0.001775905
26-08-1998,1.0812,1.0854,1.0567,0.003151453,0.011132823,0.003079576,0.002025014,0.001453878,0.020853333,0.016756667,0.495388921,1.019766667,0.003187493,0.001801019
27-08-1998,1.0365,1.0417,0.9917,0.002867289,0.010861721,0.00310881,0.002053825,0.001473331,0.02061,0.019046667,0.448731568,1.02133,0.003185827,0.001822489
28-08-1998,0.9979,1.0073,0.8604,0.00241519,0.02806567,0.003133615,0.002078229,0.001490387,0.018823333,0.02269,0.359741353,1.017463333,0.003153603,0.001838342
31-08-1998,0.8786,0.8968,0.6927,0.001652041,0.029534248,0.003139411,0.00209344,0.00150307,0.01391,0.02884,0.18782404,1.002533333,0.003071693,0.00184492
01-09-1998,0.6344,0.7219,0.5417,0.001521334,0.049316788,0.003138376,0.002105911,0.001514854,0.01391,0.028383333,0.192541014,0.98806,0.002986202,0.00184987
02-09-1998,0.6927,0.8,0.6833,0.00179433,0.03426779,0.00313486,0.002121618,0.001527901,0.01557,0.028383333,0.226570303,0.975246667,0.002924744,0.001858033
03-09-1998,0.6968,0.7521,0.6729,0.001725254,0.017922439,0.003124671,0.002136,0.001540273,0.01557,0.027166667,0.240110123,0.96365,0.002862566,0.001865289
04-09-1998,0.7223,0.7499,0.6833,0.001738077,0.012194864,0.003115307,0.00215073,0.00155267,0.015673333,0.02623,0.253148499,0.953093333,0.002805268,0.001872626
08-09-1998,0.7833,0.7895,0.75,0.001944892,0.015279518,0.003113842,0.002167316,0.001566195,0.016973333,0.02623,0.278436874,0.943836667,0.002765696,0.001882362
09-09-1998,0.7459,0.7698,0.6948,0.0016781,0.012259544,0.003103435,0.002181615,0.001578022,0.016973333,0.026536667,0.27471919,0.934273333,0.00271058,0.001888812
10-09-1998,0.6614,0.6708,0.6271,0.001509752,0.022781625,0.00308873,0.00219415,0.001588953,0.016973333,0.024803333,0.296449778,0.926443333,0.002647602,0.001893187
11-09-1998,0.6532,0.674,0.6125,0.001387318,0.016534284,0.003060926,0.002205542,0.00159947,0.015323333,0.02579,0.251368358,0.915976667,0.002580381,0.001896056
14-09-1998,0.6698,0.6709,0.6125,0.001305419,0.010138678,0.00302417,0.002217143,0.001609526,0.015323333,0.025653333,0.253037302,0.905646667,0.002511942,0.001897917
15-09-1998,0.5901,0.6229,0.5864,0.001281428,0.011758842,0.002975576,0.002229678,0.001619369,0.015323333,0.025116667,0.259700078,0.895853333,0.002446292,0.001899473
16-09-1998,0.6188,0.7162,0.5959,0.0016781,0.028130067,0.002948087,0.002245908,0.001631768,0.01807,0.025116667,0.312733816,0.888806667,0.002411783,0.001905754
17-09-1998,0.6703,0.6959,0.6375,0.001419581,0.030627167,0.002926079,0.002259651,0.00164243,0.01807,0.026176667,0.299275867,0.8807,0.002361965,0.001908883
18-09-1998,0.648,0.6766,0.6474,0.001512234,0.011396755,0.002907219,0.002271951,0.001653694,0.017896667,0.026176667,0.296152054,0.87242,0.002321646,0.001913088
21-09-1998,0.6333,0.724,0.6333,0.001712431,0.016649111,0.002896986,0.002286514,0.001666001,0.017703333,0.026176667,0.292638685,0.863946667,0.002297507,0.001919643
22-09-1998,0.7354,0.7625,0.7302,0.001805085,0.021538224,0.002882782,0.002302836,0.001678697,0.01689,0.026176667,0.277512822,0.85466,0.00228121,0.00192724
23-09-1998,0.7567,0.8791,0.75,0.002388718,0.032961773,0.002875565,0.002325162,0.001694789,0.020933333,0.026176667,0.347552582,0.849416667,0.002305553,0.001941735
24-09-1998,0.8927,0.9739,0.8458,0.00228531,0.037104556,0.002867981,0.002346182,0.001710117,0.01916,0.02701,0.308131279,0.841566667,0.002321311,0.001954851
25-09-1998,0.8208,0.9218,0.8208,0.002531007,0.026243288,0.002864964,0.002370249,0.001726948,0.02114,0.02621,0.350388694,0.836496667,0.002352717,0.001970771
28-09-1998,0.9698,1,0.9323,0.002750645,0.027743183,0.002861904,0.002397417,0.001745323,0.02291,0.02489,0.394460981,0.834516667,0.002396995,0.001989158
29-09-1998,0.9771,0.9964,0.9292,0.00266461,0.027543177,0.002844096,0.002423502,0.001762959,0.02291,0.024733333,0.396576987,0.832693333,0.002432581,0.002006333
30-09-1998,0.9292,0.9625,0.9068,0.002612906,0.020884073,0.002829164,0.002448744,0.001780465,0.02041,0.02515,0.352426984,0.827953333,0.002462364,0.00202272
01-10-1998,0.9,0.925,0.8333,0.002302683,0.024571662,0.002806235,0.002471574,0.001796051,0.020393333,0.02765,0.320872259,0.820696667,0.002469184,0.002035237
02-10-1998,0.8775,0.9322,0.8416,0.002565338,0.024669835,0.002793538,0.002496479,0.001813376,0.022406667,0.02765,0.351950818,0.815453333,0.002493379,0.002050768
05-10-1998,0.9073,0.925,0.8416,0.002418913,0.01719355,0.002780202,0.002519453,0.001829904,0.02225,0.02883,0.33579296,0.808873333,0.002506081,0.002064395
06-10-1998,0.9292,0.9354,0.8667,0.002498744,0.019942768,0.002767593,0.002543575,0.001847034,0.021486667,0.02883,0.324297106,0.80153,0.002523378,0.00207884
07-10-1998,0.8552,0.8729,0.7604,0.001985841,0.030905461,0.002748961,0.002562332,0.001860818,0.021486667,0.032096667,0.289344674,0.79092,0.00250477,0.002087013
08-10-1998,0.6906,0.7333,0.6666,0.001736008,0.021596393,0.00273316,0.002578593,0.001872851,0.021486667,0.032893333,0.281457492,0.779513333,0.002470416,0.002092119
09-10-1998,0.7521,0.7656,0.6979,0.001908492,0.014375721,0.002716676,0.002596337,0.001886015,0.022876667,0.030603333,0.325280341,0.771786667,0.002449978,0.002099236
