date,open,high,low,close,volume
09-02-1999,2.6985,2.7,2.4985,2.5,6413000
10-02-1999,2.4562,2.5843,2.375,2.4359,6602364
11-02-1999,2.5125,2.7547,2.4875,2.7469,6896500
12-02-1999,2.7,2.7469,2.5907,2.6125,3882700
16-02-1999,2.6718,2.7124,2.425,2.4656,3889821
17-02-1999,2.461,2.5516,2.3125,2.3375,4834300
18-02-1999,2.4125,2.4125,2.1063,2.2375,10781300
19-02-1999,2.3594,2.5625,2.275,2.5469,13459099
22-02-1999,2.5438,2.7407,2.45,2.6625,9606100
23-02-1999,2.7532,2.925,2.7375,2.8797,10569500
24-02-1999,2.9406,3.0546,2.7562,2.7734,12492975
25-02-1999,2.9157,3.1407,2.8657,3.1063,18345195
26-02-1999,3.1687,3.2499,3.025,3.2031,12682502
01-03-1999,3.175,3.4016,3.1,3.325,9684500
02-03-1999,3.361,3.3938,3.0266,3.0328,8304700
03-03-1999,3.0938,3.1875,3.0063,3.0875,7764400
04-03-1999,3.1374,3.1749,2.8969,3.0031,8943551
05-03-1999,3.0985,3.1125,2.9594,3.0375,6088100
08-03-1999,3.036,3.161,2.9813,3.0547,5231300
09-03-1999,3.1281,3.3312,3.0859,3.2484,8146574
10-03-1999,3.4187,3.4734,3.35,3.4281,7058697
11-03-1999,3.4938,3.5688,3.275,3.3719,8125600
12-03-1999,3.35,3.3844,3.2157,3.3328,4666300
15-03-1999,3.325,3.4749,3.275,3.4734,3510349
16-03-1999,3.475,3.5094,3.3188,3.3453,3767200
17-03-1999,3.2828,3.3375,3.2063,3.275,3933700
18-03-1999,3.3219,3.4999,3.3094,3.4609,6149811
