date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,delta,gains,loss,avg_gain,avg_loss,rs,RSI_30,monthly_mean,EMA_30,EMA_200
26-11-1997,0.212,0.2206,0.212,0.213,135900,0.214576,0.168307,,0.0028,0.0028,0,0.005686667,0.005123333,1.109954457,52.60561209,0.222376667,0.215452285,0.148360114
28-11-1997,0.2135,0.2166,0.2057,0.2062,133568,0.215408,0.169208,,-0.0068,0,0.0068,0.005686667,0.004853333,1.171703297,53.95319418,0.22321,0.214855363,0.148935635
01-12-1997,0.212,0.2187,0.2067,0.2135,198554,0.21573,0.170062,,0.0073,0.0073,0,0.00593,0.004853333,1.221840659,54.99227202,0.224286667,0.21476792,0.149578066
02-12-1997,0.213,0.2151,0.2089,0.2117,105200,0.215464,0.171033,,-0.0018,0,0.0018,0.0056,0.004913333,1.139755767,53.26569436,0.224973333,0.21456999,0.150196195
03-12-1997,0.2099,0.2187,0.2093,0.2182,107475,0.215204,0.172147,,0.0065,0.0065,0,0.004806667,0.004913333,0.978290366,49.45130316,0.224866667,0.214804184,0.15087285
04-12-1997,0.2201,0.2276,0.2193,0.225,253200,0.21533,0.173178,,0.0068,0.0068,0,0.00488,0.004913333,0.993215739,49.8298162,0.224833333,0.215461979,0.151610433
05-12-1997,0.2219,0.2297,0.2177,0.2297,221800,0.215846,0.174308,,0.0047,0.0047,0,0.005036667,0.00488,1.032103825,50.78991597,0.22499,0.216380561,0.152387444
08-12-1997,0.2271,0.2386,0.2261,0.2354,397200,0.216388,0.175553,,0.0057,0.0057,0,0.00435,0.00488,0.891393443,47.12892741,0.22446,0.217607621,0.15321344
09-12-1997,0.2334,0.2386,0.2302,0.2344,111024,0.217034,0.176819,,-0.001,0,0.001,0.00435,0.003653333,1.190693431,54.35235319,0.225156667,0.218691001,0.154021266
10-12-1997,0.2297,0.2313,0.2198,0.2255,120400,0.217206,0.177983,,-0.0089,0,0.0089,0.00322,0.00395,0.815189873,44.90934449,0.224426667,0.219130291,0.154732497
11-12-1997,0.2198,0.2417,0.2198,0.2344,417990,0.217874,0.179259,,0.0089,0.0089,0,0.00278,0.00395,0.703797468,41.30757801,0.223256667,0.220115433,0.155525209
12-12-1997,0.2323,0.2401,0.2203,0.2271,222700,0.218406,0.180384,,-0.0073,0,0.0073,0.00278,0.00375,0.741333333,42.57274119,0.222286667,0.220566051,0.156237396
15-12-1997,0.2292,0.2334,0.2203,0.2292,141231,0.218974,0.181546,,0.0021,0.0021,0,0.00285,0.003683333,0.773755656,43.62244898,0.221453333,0.22112308,0.156963392
16-12-1997,0.2323,0.2323,0.2229,0.2229,140600,0.219308,0.18266,,-0.0063,0,0.0063,0.00285,0.003873333,0.735800344,42.38968765,0.22043,0.22123772,0.157619477
17-12-1997,0.2187,0.2228,0.2127,0.2195,511584,0.21964,0.183694,,-0.0034,0,0.0034,0.00285,0.003796667,0.750658472,42.87863591,0.219483333,0.221125609,0.158235204
18-12-1997,0.2177,0.2214,0.2115,0.2146,267000,0.219926,0.1846,,-0.0049,0,0.0049,0.00285,0.00382,0.746073298,42.72863568,0.218513333,0.220704602,0.158796048
19-12-1997,0.2115,0.2261,0.2084,0.225,396100,0.220676,0.185626,,0.0104,0.0104,0,0.003196667,0.003466667,0.922115385,47.97398699,0.218243333,0.220981724,0.159454793
22-12-1997,0.225,0.2391,0.2216,0.2349,362700,0.221472,0.186777,,0.0099,0.0099,0,0.003526667,0.003163333,1.114857745,52.71549576,0.218606667,0.221879677,0.160205492
23-12-1997,0.2343,0.2369,0.2312,0.2312,98079,0.222096,0.187881,,-0.0037,0,0.0037,0.003526667,0.002833333,1.244705882,55.45073375,0.2193,0.222480989,0.160911905
24-12-1997,0.2313,0.2354,0.2235,0.2302,194700,0.22272,0.189027,,-0.001,0,0.001,0.003526667,0.002433333,1.449315068,59.17225951,0.220393333,0.222978989,0.161601339
26-12-1997,0.228,0.2322,0.2245,0.226,40591,0.223318,0.190183,,-0.0042,0,0.0042,0.003526667,0.002276667,1.549048316,60.7696726,0.221643333,0.223173893,0.162242122
29-12-1997,0.2292,0.2391,0.2266,0.2375,212700,0.224444,0.191433,,0.0115,0.0115,0,0.00376,0.002276667,1.651537335,62.28602982,0.223126667,0.224098158,0.162990956
